id,config,code_version,data_epoch,metrics,path
appbay-tests-20260924,"{""code"": ""src/appbay-dockhand/run_appbay_tests.sh"", ""code_version"": ""appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044"", ""data_epoch"": ""the project's own vitest suites via turbo"", ""note"": ""Sources are immutable snapshots, so the data epoch is the pinned commit set\nrather than a time window. Nothing in these runs reads a live system except\nauth-gap-20260924, which used the local Docker daemon and tore down after.\n"", ""run_id"": ""appbay-tests-20260924""}",appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044,the project's own vitest suites via turbo,yes,runs/appbay-tests-20260924
auth-gap-20260924,"{""code"": ""src/appbay-dockhand/auth_error_still_deploys.sh"", ""code_version"": ""appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044"", ""data_epoch"": ""appbay up against a default install whose auth trait errors; Docker 29.4.0"", ""note"": ""Sources are immutable snapshots, so the data epoch is the pinned commit set\nrather than a time window. Nothing in these runs reads a live system except\nauth-gap-20260924, which used the local Docker daemon and tore down after.\n"", ""run_id"": ""auth-gap-20260924""}",appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044,appbay up against a default install whose auth trait errors; Docker 29.4.0,yes,runs/auth-gap-20260924
cli-exposure-20260924,"{""code"": ""src/appbay-dockhand/cli_exposure.sh"", ""code_version"": ""appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044"", ""data_epoch"": ""superseded: counted subcommands and mismatched the --json grep"", ""note"": ""Sources are immutable snapshots, so the data epoch is the pinned commit set\nrather than a time window. Nothing in these runs reads a live system except\nauth-gap-20260924, which used the local Docker daemon and tore down after.\n"", ""run_id"": ""cli-exposure-20260924""}",appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044,superseded: counted subcommands and mismatched the --json grep,yes,runs/cli-exposure-20260924
cli-exposure-20260924b,"{""code"": ""src/appbay-dockhand/cli_exposure.sh"", ""code_version"": ""appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044"", ""data_epoch"": ""top-level commands of the built binary against docs/reference/cli-commands.qmd"", ""note"": ""Sources are immutable snapshots, so the data epoch is the pinned commit set\nrather than a time window. Nothing in these runs reads a live system except\nauth-gap-20260924, which used the local Docker daemon and tore down after.\n"", ""run_id"": ""cli-exposure-20260924b""}",appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044,top-level commands of the built binary against docs/reference/cli-commands.qmd,yes,runs/cli-exposure-20260924b
compile-untouched-20260924,"{""code"": ""src/appbay-dockhand/compile_untouched_compose.sh"", ""code_version"": ""appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044"", ""data_epoch"": ""one untailored compose compiled under both ingress providers"", ""note"": ""Sources are immutable snapshots, so the data epoch is the pinned commit set\nrather than a time window. Nothing in these runs reads a live system except\nauth-gap-20260924, which used the local Docker daemon and tore down after.\n"", ""run_id"": ""compile-untouched-20260924""}",appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044,one untailored compose compiled under both ingress providers,yes,runs/compile-untouched-20260924
dead-surface-20260924,"{""code"": ""src/appbay-dockhand/appbay_dead_surface.sh"", ""code_version"": ""appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044"", ""data_epoch"": ""producers and readers of each declared shepherd phase and field"", ""note"": ""Sources are immutable snapshots, so the data epoch is the pinned commit set\nrather than a time window. Nothing in these runs reads a live system except\nauth-gap-20260924, which used the local Docker daemon and tore down after.\n"", ""run_id"": ""dead-surface-20260924""}",appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044,producers and readers of each declared shepherd phase and field,yes,runs/dead-surface-20260924
dockhand-leads-20260924,"{""code"": ""src/appbay-dockhand/dockhand_leads.sh"", ""code_version"": ""appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044"", ""data_epoch"": ""each named Dockhand lead beside AppBay's counterpart or absence"", ""note"": ""Sources are immutable snapshots, so the data epoch is the pinned commit set\nrather than a time window. Nothing in these runs reads a live system except\nauth-gap-20260924, which used the local Docker daemon and tore down after.\n"", ""run_id"": ""dockhand-leads-20260924""}",appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044,each named Dockhand lead beside AppBay's counterpart or absence,yes,runs/dockhand-leads-20260924
dockhand-overlay-20260924,"{""code"": ""src/appbay-dockhand/dockhand_overlay_surface.sh"", ""code_version"": ""appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044"", ""data_epoch"": ""every compose-mutation site and proxy-config string in dockhand src/"", ""note"": ""Sources are immutable snapshots, so the data epoch is the pinned commit set\nrather than a time window. Nothing in these runs reads a live system except\nauth-gap-20260924, which used the local Docker daemon and tore down after.\n"", ""run_id"": ""dockhand-overlay-20260924""}",appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044,every compose-mutation site and proxy-config string in dockhand src/,yes,runs/dockhand-overlay-20260924
docs-check-mutation-20260924,"{""code"": ""src/appbay-dockhand/docs_check_detects_drift.sh"", ""code_version"": ""appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044"", ""data_epoch"": ""check-docs-cli.mjs against two injected discrepancies and a control"", ""note"": ""Sources are immutable snapshots, so the data epoch is the pinned commit set\nrather than a time window. Nothing in these runs reads a live system except\nauth-gap-20260924, which used the local Docker daemon and tore down after.\n"", ""run_id"": ""docs-check-mutation-20260924""}",appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044,check-docs-cli.mjs against two injected discrepancies and a control,yes,runs/docs-check-mutation-20260924
env-defect-radius-20260924,"{""code"": ""src/appbay-dockhand/env_defect_blast_radius.sh"", ""code_version"": ""appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044"", ""data_epoch"": ""CodeGraph callers/impact for the three environment sites and their tests"", ""note"": ""Sources are immutable snapshots, so the data epoch is the pinned commit set\nrather than a time window. Nothing in these runs reads a live system except\nauth-gap-20260924, which used the local Docker daemon and tore down after.\n"", ""run_id"": ""env-defect-radius-20260924""}",appbay-cli-mac@9f00b579 / appbay-mac@d8f557bc / dockhand@99dc1044,CodeGraph callers/impact for the three environment sites and their tests,yes,runs/env-defect-radius-20260924
