start,end
auth-gap-20260924,runs/auth-gap-20260924/data/policies.txt
auth-gap-20260924,runs/auth-gap-20260924/data/routes.txt
auth-gap-20260924,runs/auth-gap-20260924/data/running.txt
auth-gap-20260924,runs/auth-gap-20260924/data/up.stderr
auth-gap-20260924,runs/auth-gap-20260924/data/up.stdout
auth-gap-20260924,runs/auth-gap-20260924/home/etc/apps/authgap/.env
auth-gap-20260924,runs/auth-gap-20260924/home/etc/apps/authgap/appbay.yaml
auth-gap-20260924,runs/auth-gap-20260924/home/etc/apps/authgap/docker-compose.yml
auth-gap-20260924,runs/auth-gap-20260924/home/etc/namespaces/default.yaml
auth-gap-20260924,runs/auth-gap-20260924/home/etc/system.yaml
auth-gap-20260924,runs/auth-gap-20260924/home/var/lib/state/generated-values.yaml
auth-gap-20260924,runs/auth-gap-20260924/home/var/lib/state/operator-id
map-form-env-20260924,runs/map-form-env-20260924/data/compile.stderr
map-form-env-20260924,runs/map-form-env-20260924/data/compile.stdout
map-form-env-20260924,runs/map-form-env-20260924/data/generated-values.yaml
map-form-env-20260924,runs/map-form-env-20260924/data/rendered.yml
map-form-env-20260924,runs/map-form-env-20260924/home/etc/apps/mapform/appbay.yaml
map-form-env-20260924,runs/map-form-env-20260924/home/etc/apps/mapform/docker-compose.yml
map-form-env-20260924,runs/map-form-env-20260924/home/etc/namespaces/default.yaml
map-form-env-20260924,runs/map-form-env-20260924/home/etc/system.yaml
map-form-env-20260924,runs/map-form-env-20260924/home/var/lib/renders/mapform/docker-compose.rendered.yml
map-form-env-20260924,runs/map-form-env-20260924/home/var/lib/state/generated-values.yaml
map-form-env-20260924,runs/map-form-env-20260924/home/var/lib/state/operator-id
cli-exposure-20260924,runs/cli-exposure-20260924/data/check_docs_cli.txt
cli-exposure-20260924,runs/cli-exposure-20260924/data/cli_help.txt
cli-exposure-20260924,runs/cli-exposure-20260924/data/commands_declared.txt
cli-exposure-20260924,runs/cli-exposure-20260924/data/commands_in_docs.txt
cli-exposure-20260924,runs/cli-exposure-20260924/data/commands_in_help.txt
cli-exposure-20260924,runs/cli-exposure-20260924/data/commands_registered_raw.txt
cli-exposure-20260924,runs/cli-exposure-20260924/data/help_not_in_docs.txt
cli-exposure-20260924,runs/cli-exposure-20260924/data/json_support.tsv
cli-exposure-20260924,runs/cli-exposure-20260924/data/undocumented_in_help.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/check_docs_cli.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/cli_help.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/commands.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/docs.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-apply.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-catalog.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-compile.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-completion.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-config.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-delete.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-dive.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-doctor.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-down.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-edge.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-eject.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-env.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-exec.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-fixfs.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-home.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-info.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-init-system.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-init.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-install.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-list.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-logs.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-mcp.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-models.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-ollama.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-open.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-presets.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-profile.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-ps.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-pull.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-rebuild-cache.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-restart.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-run.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-secrets.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-server.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-setup.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-shell.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-size.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-smi.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-stats.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-status.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-tunnel-down.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-tunnel.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-up.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-update.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-url.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-validate.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help-version.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/help_all.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/json_support.tsv
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/retired.txt
cli-exposure-20260924b,runs/cli-exposure-20260924b/data/undocumented.txt
docs-check-mutation-20260924,runs/docs-check-mutation-20260924/data/cli-commands.qmd.orig
docs-check-mutation-20260924,runs/docs-check-mutation-20260924/data/mutation-A.txt
docs-check-mutation-20260924,runs/docs-check-mutation-20260924/data/mutation-B.txt
docs-check-mutation-20260924,runs/docs-check-mutation-20260924/data/mutation-baseline.txt
docs-check-mutation-20260924,runs/docs-check-mutation-20260924/data/mutation-control.txt
