start,end
F1,probe-04-untouched-compose-compiles-under-both-edges
F3,probe-05-map-form-environment-is-handled-three-ways
F4,analysis-11-map-form-defect-is-locked-in-by-a-test
F16,probe-10-appbay-test-suite-at-the-pinned-commit
F6,probe-04-untouched-compose-compiles-under-both-edges
F15,action-15-auth-trait-error-does-not-stop-the-deploy
F2,probe-06-dockhand-has-no-compose-overlay
F8,analysis-14-dockhand-leads-and-their-mechanisms
F9,analysis-14-dockhand-leads-and-their-mechanisms
F10,analysis-14-dockhand-leads-and-their-mechanisms
F5,analysis-13-web-deploy-drops-the-edge-route
F7,action-01-appbay-builds-from-the-snapshot
F7,action-03-appbay-builds-with-a-refreshed-lockfile
F11,probe-08-cli-exposure-top-level-commands
F12,probe-09-docs-cli-check-detects-injected-drift
F13,probe-08-cli-exposure-top-level-commands
F14,analysis-12-appbay-declared-but-unreachable-surface
F17,action-17-derived-paths-normalised-without-changing-content
F17,action-21-work-graph-rebuilt-with-valid-run-configs
