id,type,timestamp,verdict,key_evidence,command,exit_code,output_kind,file,run
action-01-appbay-builds-from-the-snapshot,action,2026-09-24T11:37:58-04:00,refutes,"pnpm install --frozen-lockfile exits 1 with ERR_PNPM_OUTDATED_LOCKFILE: the lockfile still lists @appbay/core as a dependency of packages/db, which packages/db/package.json no longer declares. release.yml:53 runs that exact command, so the tag-triggered release build fails the same way.",bash investigations/2026-09-24-appbay-dockhand-systematic-compose/src/appbay-dockhand/build_appbay_sandbox.sh,1,text,action-01-appbay-builds-from-the-snapshot.yaml,
action-02-appbay-builds-with-a-refreshed-lockfile,action,2026-09-24T11:38:36-04:00,inconclusive,"install and build both succeeded (3/3 turbo tasks); only the smoke check failed, because apps/cli builds a bun-compiled binary at dist/appbay and the script looked for dist/index.js. Superseded by action-03.",bash investigations/2026-09-24-appbay-dockhand-systematic-compose/src/appbay-dockhand/build_appbay_sandbox.sh,1,text,action-02-appbay-builds-with-a-refreshed-lockfile.yaml,
action-03-appbay-builds-with-a-refreshed-lockfile,action,2026-09-24T11:38:55-04:00,supports,pnpm install --no-frozen-lockfile then turbo build: 3 of 3 packages built; dist/appbay --version prints 0.1.0-dev. The only barrier to executing AppBay from the snapshot is the stale lockfile.,bash investigations/2026-09-24-appbay-dockhand-systematic-compose/src/appbay-dockhand/build_appbay_sandbox.sh,0,text,action-03-appbay-builds-with-a-refreshed-lockfile.yaml,
action-15-auth-trait-error-does-not-stop-the-deploy,action,2026-09-24T11:55:06-04:00,refutes,The hypothesis was that a failed auth trait still deploys. It does not. appbay up exits 1 with 'Failed: authgap — not deployed: its configuration did not compile … Deploying it would start a container that cannot serve its declared routes.' docker ps by label: no containers. No policy and no route f,bash investigations/2026-09-24-appbay-dockhand-systematic-compose/src/appbay-dockhand/auth_error_still_deploys.sh,1,text,action-15-auth-trait-error-does-not-stop-the-deploy.yaml,auth-gap-20260924
action-17-derived-paths-normalised-without-changing-content,action,2026-09-24T12:08:53-04:00,supports,"12 records had their derived-path prefix made investigation-relative; all 92 derived artifacts were then re-hashed against the sha256 and byte count their records claim, with 0 mismatches. WROTE went 0 -> 92 and IN_RUN 1 -> 6 in the projector, confirming the cause was the path prefix rather than mis",python3 src/appbay-dockhand/normalise_record_paths.py,0,text,action-17-derived-paths-normalised-without-changing-content.yaml,
action-18-work-graph-loads-and-reconciles,action,2026-09-24T12:10:26-04:00,inconclusive,LadybugDB 0.20.4 refused the bulk COPY: 'The table ABOUT has multiple FROM and TO pairs defined in the schema.' The bridge pointed ABOUT at both Product and CodeSite; the projector's COPY does not name a pair. Import CSVs were written (227 nodes / 330 edges) but nothing loaded. Superseded by action-,/Users/kundeng/Projects/eval-audit-ops/runs/dockhand-v2/workdir/scratch/graphvenv/bin/python /tmp/audited-ops-eval-20260924b/sources/audited-ops-tooling/work-graph.py investigations/2026-09-24-appbay-dockhand-systematic-compose --domain investigations/2026-09-24-appbay-dockhand-systematic-compose/sr,1,text,action-18-work-graph-loads-and-reconciles.yaml,
action-19-work-graph-loads-and-reconciles,action,2026-09-24T12:10:52-04:00,supports,"With each bridge type pointing at one domain label, the graph loaded: 232 nodes / 333 edges and 'conformance: 27 counts reconciled against the CSVs'. dangling_edges.csv held only its header.",/Users/kundeng/Projects/eval-audit-ops/runs/dockhand-v2/workdir/scratch/graphvenv/bin/python /tmp/audited-ops-eval-20260924b/sources/audited-ops-tooling/work-graph.py investigations/2026-09-24-appbay-dockhand-systematic-compose --domain investigations/2026-09-24-appbay-dockhand-systematic-compose/sr,1,text,action-19-work-graph-loads-and-reconciles.yaml,
action-21-work-graph-rebuilt-with-valid-run-configs,action,2026-09-24T12:12:02-04:00,supports,"After quoting the run-config scalars (a data_epoch containing ': ' was invalid YAML and the projector swallowed the parse error), all 13 run configs parse under yq and the graph rebuilt at 238 nodes / 339 edges with 'conformance: 27 counts reconciled'. Every run now carries its code_version.",/Users/kundeng/Projects/eval-audit-ops/runs/dockhand-v2/workdir/scratch/graphvenv/bin/python /tmp/audited-ops-eval-20260924b/sources/audited-ops-tooling/work-graph.py investigations/2026-09-24-appbay-dockhand-systematic-compose --domain investigations/2026-09-24-appbay-dockhand-systematic-compose/sr,1,text,action-21-work-graph-rebuilt-with-valid-run-configs.yaml,
analysis-11-map-form-defect-is-locked-in-by-a-test,analysis,2026-09-24T11:50:05-04:00,supports,"scoped-env.test.ts:178 is titled 'treats object-form environment as empty array (does not merge)' and asserts environment === ['NEW_VAR=new-value'], i.e. the loss is the expected result. secrets.test.ts:177 asserts the opposite for the same construct ({DB_PASSWORD, OTHER} -> OTHER kept). Blast radiu",bash investigations/2026-09-24-appbay-dockhand-systematic-compose/src/appbay-dockhand/env_defect_blast_radius.sh,0,text,analysis-11-map-form-defect-is-locked-in-by-a-test.yaml,
analysis-12-appbay-declared-but-unreachable-surface,analysis,2026-09-24T11:51:30-04:00,supports,"ShepherdPhase declares on-stop and cron; on-stop has 0 producers and 0 handling in converges.ts, cron has 0 real producers (the 1 counted by the script is the doc comment at traits/types.ts:109 — a conformance defect in the counting, noted). ShepherdAction.schedule has 0 readers in the shepherd/depl",bash investigations/2026-09-24-appbay-dockhand-systematic-compose/src/appbay-dockhand/appbay_dead_surface.sh,0,text,analysis-12-appbay-declared-but-unreachable-surface.yaml,
